1.10|1.10|1.10|1.10|1.10|1.10|1.10
2.20|2.20|2.20|2.20|2.20|2.20|2.20
3.30|3.30|3.30|3.30|3.30|3.30|3.30
4.40|4.40|4.40|4.40|4.40|4.40|4.40
5.50|5.50|5.50|5.50|5.50|5.50|5.50
6.60|6.60|6.60|6.60|6.60|6.60|6.60
7.70|7.70|7.70|7.70|7.70|7.70|7.70
8.80|8.80|8.80|8.80|8.80|8.80|8.80
9.90|9.90|9.90|9.90|9.90|9.90|9.90
11.00|11.00|11.00|11.00|11.00|11.00|11.00
12.10|12.10|12.10|12.10|12.10|12.10|12.10
13.20|13.20|13.20|13.20|13.20|13.20|13.20
14.30|14.30|14.30|14.30|14.30|14.30|14.30
15.40|15.40|15.40|15.40|15.40|15.40|15.40
16.50|16.50|16.50|16.50|16.50|16.50|16.50
